ref_area.label,indicator.label,source.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2015,9.23,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2016,10.19,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2017,10.14,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2018,10.59,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2019,10.95,,,Repository: ILO-STATISTICS - Micro data processing
Netherlands Antilles,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2011,6.36,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
Netherlands Antilles,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2013,6.24,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
United Arab Emirates,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2016,6.17,,,Age coverage - maximum age: 65 years old
United Arab Emirates,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2017,4.91,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2018,10.62,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2019,9.22,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2010,13.6,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2011,13.37,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2012,13.13,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2013,13.21,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2014,13.14,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2017,12.32,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2018,11.73,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2019,11.9,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Permanente de Hogares (Urbano),2020,12.51,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Household Labour Force Survey,2014,8.34,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Household Labour Force Survey,2015,7.85,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Household Labour Force Survey,2016,8.27,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Household Labour Force Survey,2017,9.13,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Household Labour Force Survey,2018,9.94,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Household Labour Force Survey,2019,10.56,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Households' Integrated Living Conditions Survey,2010,5.73,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Households' Integrated Living Conditions Survey,2011,6.75,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Households' Integrated Living Conditions Survey,2012,7.98,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Households' Integrated Living Conditions Survey,2013,8.3,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
American Samoa,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),PC - Census for American Samoa,2010,16.57,,,Age coverage - minimum age: 16 years old
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2010,8.9,,,
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2011,8.47,,,
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2012,8.38,,,
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2013,8.05,,,
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2014,8.69,,Working time arrangement coverage: Full-time and part time workers,"Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2015,8.23,,Working time arrangement coverage: Full-time and part time workers,"Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2016,8.18,,Working time arrangement coverage: Full-time and part time workers,"Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2017,7.24,,,
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2018,7.42,,,
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2019,6.86,,,
Australia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2020,6.82,,,
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2010,15.24,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2011,15.84,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2012,15.79,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2013,15.66,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2014,15.65,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2015,15.98,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2016,15.95,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2017,15.63,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2018,16.19,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2019,15.93,,,Repository: Eurostat special tabulation
Austria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2020,15.62,,,Repository: Eurostat special tabulation
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2010,4.83,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2011,4.81,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2012,4.85,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2013,4.96,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2014,4.93,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2015,4.92,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2016,5.09,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2017,5.17,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2018,5.22,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2019,5.32,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2020,5.3,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Burundi,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Enquête sur les Conditions de Vie des Ménages,2014,1.77,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old
Burundi,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Enquête sur les Conditions de Vie des Ménages,2017,1.75,,,Geographical coverage: Main cities or metropolitan areas
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2010,14.55,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2011,14.22,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2012,13.15,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2013,13,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2014,12.8,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2015,12.95,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2016,12.44,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2017,12.38,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2018,12.83,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2019,12.3,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2020,12.3,,,Repository: Eurostat special tabulation
Benin,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages,2010,7.58,,,Age coverage - maximum age: 64 years old
Benin,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages,2011,15.31,,,Repository: ILO-STATISTICS - Micro data processing
Benin,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages,2018,15.6,,,Repository: ILO-STATISTICS - Micro data processing
Burkina Faso,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Enquête Multisectorielle Continue,2014,15.22,,,Repository: ILO-STATISTICS - Micro data processing
Burkina Faso,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,2018,15.37,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Bangladesh,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2010,12.39,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2013,16.36,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2016,14.44,,,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Bangladesh,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2017,14.41,,,Repository: ILO-STATISTICS - Micro data processing
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2010,20.53,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2011,20,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2012,20.57,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2013,19.64,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2014,19.61,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2015,19.71,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2016,19.52,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2017,19.1,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2018,19.04,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2019,18.78,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - EU Labour Force Survey,2020,18.51,,,Repository: Eurostat special tabulation
Bahrain,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),PC - Population Census,2010,12,,,Data reference period: April
Bahrain,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),OE - Estimates of Central informatics organization,2015,11.93,,,
Bahamas,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force & Household Survey,2011,2.79,,,Data reference period: May
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2010,16.83,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2011,16,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2012,15.5,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2013,15.98,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2014,16.05,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2015,16.06,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2016,17.29,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2017,16.52,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2018,17.69,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2019,18.64,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2020,18.25,,,Repository: ILO-STATISTICS - Micro data processing
Belarus,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2016,18.07,,,Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
Belarus,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2017,18.35,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old
Belarus,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2018,17.6,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents
Belarus,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2019,17.43,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Age coverage - maximum age: 74 years old
Belarus,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),OE - Labour reSources Estimates,2015,20.48,,,Age coverage - minimum age: 16 years old
Belize,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2014,6.85,,,Repository: ILO-STATISTICS - Micro data processing
Belize,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2015,7.07,,,Repository: ILO-STATISTICS - Micro data processing
Belize,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2016,7.38,,,Repository: ILO-STATISTICS - Micro data processing
Belize,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2017,7.76,,,Repository: ILO-STATISTICS - Micro data processing
Belize,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2019,7.98,,,Repository: ILO-STATISTICS - Micro data processing
Bermuda,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2010,2.38,,,Age coverage - minimum age: 16 years old
Bermuda,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2012,1.15,,,Data reference period: May | Population coverage: Excluding institutional population | Age coverage - minimum age: 16 years old
Bermuda,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2013,1.72,,,Data reference period: May | Population coverage: Excluding institutional population | Age coverage - minimum age: 16 years old
Bolivia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Continua de Empleo,2016,10.02,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Continua de Empleo,2017,9.87,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Encuesta Continua de Empleo,2018,10.02,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Encuesta de Hogares,2011,10.64,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Encuesta de Hogares,2012,10.12,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Encuesta de Hogares,2013,10.38,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Encuesta de Hogares,2014,9.54,,,Repository: ILO-STATISTICS - Micro data processing
